,mfcc
521,"[-6.8806958e+02  7.8048088e+01 -3.4657550e-01  2.4985981e+01
  1.2036587e+01  2.5362309e+01 -7.0813036e+00  6.9381680e+00
 -5.8496523e+00  7.4628782e+00 -3.9936430e+00  9.2177600e-01
 -2.1430085e+00]"
522,"[-565.9391       73.10547      -1.0773373    15.130826      6.5645065
   17.629105    -10.901943     -0.80268586   -4.9859443     2.0451443
  -11.989593     -1.3715069    -3.0568624 ]"
523,"[-529.39886     71.903404     1.2780447   12.465373     7.6969337
   17.616083   -10.437841    -1.0629004   -4.391483    -1.0309298
  -11.743023    -2.2221093   -0.8950567]"
524,"[-7.2798334e+02  1.1076121e+02  3.0244412e+00  1.0532213e+01
  1.4529692e+01  1.7115650e+01 -5.5317349e+00  7.7144057e-01
 -1.2137265e+01  7.2716683e-01 -5.2030191e-02 -6.9365174e-01
 -2.2630708e+00]"
525,"[-7.5194470e+02  9.7116219e+01  3.5298078e+00  1.4327995e+01
  1.3660594e+01  1.8779867e+01 -8.4943104e+00  3.5472968e+00
 -8.1880713e+00 -1.8986659e-01 -2.1372037e+00  8.0091137e-01
 -1.9590881e+00]"
526,"[-7.5641760e+02  9.1881172e+01  7.4272509e+00  2.3927427e+01
  1.3686204e+01  2.0435427e+01 -5.7637725e+00  1.0673272e+01
 -9.7435284e+00  3.6022513e+00 -6.1612253e+00  7.5816357e-01
 -3.3392704e-01]"
527,"[-697.59863     102.366425     -0.8240524    23.779188     17.813793
   17.342726     -2.6093647     4.414348    -14.492786     -2.1796694
    3.2265387    -1.0435774    -0.94480526]"
528,"[-698.8224      98.88878      7.192037    14.562691    12.423041
   16.546364   -10.957465     6.6319237   -6.145061     2.6782613
   -4.752584    -3.6650805   -5.151881 ]"
529,"[-682.18365     99.23068      3.8861244   17.19153     15.739384
   18.091784    -9.298288     3.6593008   -3.7337348    2.2563818
   -5.578045    -2.071746    -4.1530375]"
530,"[-673.7473      95.10526      1.3815136   14.650202    16.037798
   17.622179    -8.06955      6.214692    -5.672372    -2.1017637
   -4.4315577   -2.052074    -2.0591056]"
531,"[-6.5706586e+02  1.0806763e+02  4.8167944e+00  8.1325102e+00
  1.6015644e+01  1.5707558e+01 -7.8911114e+00  2.2772589e+00
 -1.5266982e+00 -4.0624914e+00 -6.0002604e+00 -7.4123347e-01
 -6.2589771e-01]"
532,"[-767.49097     98.61587     16.853008    23.90751     11.765282
   21.58551      1.3931594    7.2025003   -2.0195603    2.4653122
    3.6003184    1.4475243   -2.1980546]"
533,"[-768.90717     97.953384    10.471934    20.611204    12.930528
   20.344559    -5.6563973    4.9242215   -5.129442     1.2494178
    2.628149    -1.2503897   -3.6662672]"
534,"[-7.3169684e+02  1.0321277e+02  1.0077964e+01  2.6379190e+01
  1.4048161e+01  2.2477806e+01 -2.2834477e+00  8.0339346e+00
 -4.6644444e+00  1.5665358e+00  2.6407282e+00  4.0656990e-01
 -4.2486176e+00]"
535,"[-7.4736591e+02  1.0027228e+02  7.2243538e+00  2.2092606e+01
  1.0507482e+01  1.9620621e+01 -5.2680883e+00  4.2820144e+00
 -6.1702771e+00 -2.4475167e+00 -2.2482440e+00  9.1673358e-04
 -5.1113386e+00]"
536,"[-6.3852606e+02  7.0416260e+01  5.8423710e+00  1.2367565e+01
  1.0285513e+01  1.0654705e+01 -6.2805233e+00  7.2743438e-02
 -3.7776368e+00 -2.0418384e+00 -1.7659158e+00 -3.1882257e+00
 -4.5183764e+00]"
537,"[-712.2253       91.900314     13.162265     20.100067     14.359576
   18.366796     -4.4365597     3.9492142    -3.5345185     1.4951004
    0.77730983   -1.6390051    -2.5979526 ]"
538,"[-721.10077     86.32946     12.213155    24.498661    10.554814
   18.532799    -1.4293009    5.5924945   -4.649239     1.4268829
   -2.1693301   -3.4601      -3.4371212]"
539,"[-7.1187164e+02  9.0587990e+01  7.2312746e+00  2.3522018e+01
  1.3037440e+01  1.8755436e+01 -5.7023172e+00  5.3310528e+00
 -4.6024814e+00  3.4184119e-01 -2.1245117e+00 -1.6271728e+00
 -4.9955840e+00]"
540,"[-567.99066     73.2167       4.6066246    7.6908793   -1.530149
   12.029088   -12.35862      1.4551449  -13.356566    -2.099357
   -6.2794466   -1.0185479   -7.079387 ]"
541,"[-5.3736609e+02  8.5440247e+01  3.5981653e+00  1.4148496e+01
 -5.3181019e+00  1.1046821e+01 -1.7736408e+01 -4.1868308e-01
 -1.7661278e+01 -5.7364836e+00 -6.7354808e+00 -1.9803882e+00
 -6.9798417e+00]"
542,"[-5.3126324e+02  7.5701279e+01  3.1232991e+00  7.9943848e+00
 -2.4013493e+00  1.0869900e+01 -1.6857145e+01 -5.2040076e-01
 -2.0040943e+01 -8.0251083e+00 -5.8674798e+00  1.1200518e-02
 -7.4931316e+00]"
543,"[-5.8456403e+02  7.3922363e+01  8.9684372e+00  2.0338751e+01
  4.3564186e-01  1.4086146e+01 -1.0971144e+01  5.6597424e+00
 -1.5569602e+01 -2.0724475e+00 -5.8899999e+00  2.9620785e-02
 -5.8144674e+00]"
544,"[-542.4666      86.189384    -4.181212    14.206482     1.4925094
    9.448327   -21.383465     3.6890435  -21.149622    -7.249128
   -8.037106    -4.9578433    3.0570695]"
545,"[-567.1344      85.196884    -1.5645493   10.9071045    0.944869
   11.309339   -14.9559765    4.682183   -17.755095    -2.1147687
   -3.0180852   -1.906541    -5.99516  ]"
546,"[-5.3262225e+02  6.8563934e+01  1.2991835e+00  1.2458869e+01
 -3.5524052e-02  1.0118851e+01 -2.2080492e+01  1.0698864e+01
 -2.5087036e+01 -6.5031972e+00 -6.6087728e+00 -2.5328939e+00
 -6.1022458e+00]"
547,"[-528.81104     74.46691      3.972398    10.499662    -1.0656049
   10.411615   -22.604542     3.8272135  -20.686956    -6.5507817
   -4.3865743   -2.8641665   -7.071295 ]"
548,"[-552.0799       83.592735     -2.97746       7.7546396     0.5816319
   13.484414    -18.445454      0.57136893  -22.914799     -7.397335
   -5.8756437    -2.0397675    -5.172417  ]"
549,"[-5.51288513e+02  8.09902420e+01  2.86026049e+00  8.79456615e+00
 -4.14996719e+00  9.89244461e+00 -1.47035055e+01 -6.92151636e-02
 -1.75768547e+01 -9.62451172e+00 -6.53710079e+00 -3.75792336e+00
 -2.25210547e+00]"
550,"[-549.797       85.79249      0.8220644   11.544709     2.1532419
    9.992173   -17.468554     3.6469703  -18.968199   -10.253586
   -3.7429912   -5.4734006   -5.092304 ]"
551,"[-5.86637085e+02  9.01185379e+01  7.80804443e+00  1.58566656e+01
 -8.37913752e-02  1.61358185e+01 -1.31442995e+01  7.25865269e+00
 -1.71742363e+01 -2.62898779e+00 -5.27060652e+00 -2.89173317e+00
 -5.35680294e+00]"
552,"[-498.6033       67.27487      -6.172064     -1.1383584     2.807629
    6.1959944   -12.88684      -0.50060225  -12.943472    -10.595323
   -4.4500217    -2.8401873    -6.016115  ]"
553,"[-5.0884042e+02  6.7306732e+01 -5.7685361e+00  1.8661152e+00
  3.1864548e-01  7.2346687e+00 -1.6468666e+01 -2.4302933e+00
 -1.5903382e+01 -1.0270512e+01 -6.0019331e+00 -1.3740717e-01
 -9.6039009e+00]"
554,"[-511.6184      68.06365    -18.50531     -2.170073     2.8240008
    3.3182712  -16.68127     -6.495542   -22.938478   -10.981608
   -2.6883636   -2.813199   -11.454979 ]"
555,"[-505.19662     76.02443     -9.010684     4.9314046   -1.6122973
    2.5891635  -20.663261    -2.4443784  -20.673378   -12.972643
   -4.8583064   -0.8548723  -11.078778 ]"
556,"[-360.1794       71.56965     -32.42101      -9.63506      -5.3925114
    1.0943301   -30.238916     -7.2386827   -19.030535    -22.740967
  -10.6714115    -0.85212666  -15.7703705 ]"
557,"[-388.22574     58.666283   -25.992964    -6.208962    -3.7992542
    4.5895023  -22.614256    -7.5355906  -17.194159   -18.089043
   -8.987351    -0.5831062  -12.106381 ]"
558,"[-3.4106415e+02  5.2439995e+01 -3.1536751e+01 -2.0130312e+00
 -8.9983587e+00  2.1238786e-01 -2.4358978e+01 -6.3840923e+00
 -1.6964430e+01 -1.7645489e+01 -1.2573733e+01 -2.4793694e+00
 -1.3018423e+01]"
559,"[-340.86646     63.98142    -38.08081     -6.736431    -4.943236
    3.8591547  -28.429144    -6.408653   -17.565266   -22.670351
  -11.772959    -0.797081   -15.611761 ]"
560,"[-622.089       77.23801      5.6361337   12.892351     5.4957356
   12.039789   -12.287136     6.517576   -14.910413    -6.6795716
   -1.5051165   -4.1599517   -3.163093 ]"
561,"[-6.1277148e+02  7.7938080e+01  8.1908035e+00  1.6227036e+01
  1.4277558e+00  1.3111046e+01 -1.3207879e+01  9.3892803e+00
 -1.6824629e+01 -5.0579724e+00 -4.2000599e+00  3.9241961e-01
 -2.2274823e+00]"
562,"[-615.56354     81.24281     15.600036    15.46082      3.2117813
   14.025738   -12.149452     4.662567   -18.449226    -7.043925
   -1.8563453   -3.118319    -5.8501563]"
563,"[-604.50934     92.02062     16.338335    15.491692    -4.4059057
   13.437619   -13.623303     5.800343   -21.869623    -4.044967
   -1.1945839   -2.2143502   -6.77948  ]"
564,"[-5.22597961e+02  8.53862534e+01 -1.03556204e+01  1.07636175e+01
  6.74535751e+00  1.26699915e+01 -1.85502052e+01  1.68059602e-01
 -1.66250191e+01 -1.46350307e+01 -3.91922116e-01 -4.97272444e+00
 -7.36636829e+00]"
565,"[-5.7235382e+02  8.9258965e+01 -5.7907748e+00  1.1439554e+01
  6.5624075e+00  1.6001621e+01 -1.7816742e+01  1.0537432e+00
 -2.1450756e+01 -1.3256634e+01  6.4126506e-02 -2.0196323e+00
 -5.7250428e+00]"
566,"[-594.1198      78.22842      9.895153    23.648659     2.598338
   14.235437   -11.384187     2.2039034  -19.247746    -6.875064
    0.7683296   -4.025957    -6.3084016]"
567,"[-5.9648529e+02  6.9930817e+01  9.5122766e+00  1.6868153e+01
  6.3759394e+00  1.3335621e+01 -8.1914272e+00  2.6176946e+00
 -1.6402788e+01 -9.6137114e+00 -3.9824286e-01 -6.6767964e+00
 -7.7235670e+00]"
568,"[-5.1048166e+02  1.0068003e+02 -3.2893100e+00  8.2349663e+00
  1.3808312e+00  7.7865396e+00 -1.7386135e+01  5.0205094e-01
 -2.2630711e+01 -9.7778215e+00 -3.8575571e+00 -4.5322862e+00
 -3.5924129e+00]"
569,"[-4.5123953e+02  1.0258412e+02 -1.6820110e+01  2.8407928e-01
 -1.3885984e+00  2.0658832e+00 -1.8877312e+01  1.2268684e+00
 -1.9586344e+01 -1.0869088e+01 -4.3802252e+00 -4.5339885e+00
 -4.7858629e+00]"
570,"[-4.6703610e+02  9.7297874e+01 -6.8437662e+00  4.1808362e+00
 -4.1480823e+00  7.1024375e+00 -1.5969440e+01 -2.7238217e-01
 -2.2954502e+01 -9.0373516e+00 -5.6632147e+00 -3.4606550e+00
 -9.4714022e+00]"
571,"[-465.39673    103.11859    -10.491079     5.4417496   -1.2582515
    4.108419   -18.214422     3.588221   -28.058899    -5.518578
   -1.1819919   -7.6954813   -8.190339 ]"
572,"[-330.28973     75.71934    -21.682602    -1.187602    -1.2435105
   -5.889831   -20.750648    -1.9559889  -17.042288   -11.467482
   -5.6005855   -6.415071    -8.228587 ]"
573,"[-324.2093      87.379326   -30.085161    -4.718007   -13.353777
   -8.432155   -25.433195    -2.0359457  -15.083721   -12.302277
  -15.760412    -6.696958   -10.620394 ]"
574,"[-374.7626      65.898415   -18.526327     1.8309559  -11.021441
   -2.9441679  -19.66554     -1.8635386  -14.28099    -11.032946
  -12.758611    -3.9025054   -8.990543 ]"
575,"[-351.15546     74.01478    -28.725136     2.5755458  -13.142073
   -6.576158   -22.890648    -1.082328   -18.609753   -10.158623
  -13.524934    -5.318145   -10.266385 ]"
576,"[-5.5114069e+02  7.6760811e+01 -7.1718240e+00  8.4732008e+00
 -2.6416886e-01  1.1532748e+01 -1.3001477e+01 -9.2423749e-01
 -1.9743008e+01 -1.0981718e+01 -1.3487312e+00  1.4392834e+00
 -5.7882233e+00]"
577,"[-607.6985      79.048035     1.2023456   13.525397    -3.1452363
   11.242683    -8.142918     4.3422995  -19.197218    -4.2954473
    0.8136446    2.779827    -3.9348319]"
578,"[-588.177       71.78951      4.5906763   12.140685    -4.028752
   13.917897   -12.8940935    2.5073123  -21.526854    -9.79717
   -3.6839938    1.3846546   -4.4329896]"
579,"[-5.8437274e+02  6.8746216e+01  7.8751922e+00  1.4379740e+01
 -6.8215716e-01  1.3635718e+01 -1.0860742e+01  6.1476130e+00
 -1.8431494e+01 -3.5781405e+00  1.8011257e-01  4.3944648e-01
 -5.5693178e+00]"
580,"[-438.7531      66.9317     -22.017076     1.4469928   -4.513652
    2.6484292  -21.054762    -6.384992   -17.13218    -13.802223
   -5.3193297   -2.3470848   -8.80931  ]"
581,"[-4.5836136e+02  7.1093582e+01 -2.4913919e+01  3.3635414e-01
 -3.5438015e+00  4.6689916e+00 -2.4194551e+01 -2.5511196e+00
 -1.9143137e+01 -1.4727676e+01 -5.8857622e+00 -7.6778883e-01
 -7.3059721e+00]"
582,"[-436.1765      67.59796    -16.607117     3.0748286   -4.6322775
    3.0529342  -23.307602    -3.0204227  -20.949709   -15.579466
   -9.412312    -2.2716658   -9.593957 ]"
583,"[-521.13885     81.497314   -10.950465     8.5058      -2.1510346
    3.7561626  -20.49431      1.0136571  -20.111177   -12.577056
   -4.386746    -5.6239104   -9.789185 ]"
584,"[-6.0004028e+02  9.8254539e+01 -5.1086664e-01  9.8263187e+00
  1.9679710e+00  9.9544115e+00 -1.3335235e+01  8.8818264e+00
 -1.9287743e+01 -5.3256550e+00 -1.6511691e+00 -2.0665172e-01
 -5.6172771e+00]"
585,"[-5.6379089e+02  1.1445053e+02 -4.6212709e-01  6.7178502e+00
  2.7558684e+00  1.1014233e+01 -1.4615466e+01  2.9007180e+00
 -2.4547966e+01 -4.9187193e+00  2.3514659e+00 -2.5567491e+00
 -1.2476605e+01]"
586,"[-5.6388910e+02  9.2058517e+01  1.1245856e+01  1.0894842e+01
 -1.2208428e+00  1.1515847e+01 -1.2861292e+01  4.3936396e+00
 -1.7878403e+01 -5.2649150e+00 -2.0950371e-01  2.0475042e+00
 -7.3834486e+00]"
587,"[-500.27847     79.11076     -6.9927936    9.725655    -7.502038
   11.862969   -20.158558     7.478778   -20.345997     0.8273945
    2.6624215   -2.771869   -15.250054 ]"
588,"[-415.4419      86.47431    -20.611246     3.1900737   -2.8430405
    2.4759235  -27.184536     1.9524254  -24.246489    -3.1886885
   -7.674387    -6.1485386  -15.879773 ]"
589,"[-398.01224      92.88128     -21.764935     -1.1178172    -2.306054
    0.5699232   -28.88389      -0.86997217  -25.001667     -8.101188
   -6.4703765    -6.9346185   -17.094013  ]"
590,"[-449.62704      87.58022     -13.6804285    -0.52003133   -3.740347
    4.8360777   -25.616774      4.190019    -31.61438      -7.216302
   -3.7452176    -6.1838946   -18.587511  ]"
591,"[-403.70953     78.7823     -15.046888     3.3294222  -11.128018
    1.7032428  -29.709095     1.5393882  -21.53767     -9.5574875
  -12.049975    -1.387294   -15.163659 ]"
592,"[-5.4284009e+02  6.1565834e+01 -2.6780418e-01  1.0337340e+01
  2.4267992e-01  8.8158598e+00 -1.4852397e+01  1.8337340e+00
 -1.4715451e+01 -1.1052021e+00 -2.0436532e+00 -1.8241140e+00
 -8.4537468e+00]"
593,"[-566.70856      78.20616       5.7265196    11.699138     -0.70789355
    8.914775    -10.629881      1.0582161   -13.841767     -5.4678025
   -3.6208332     2.0098064    -4.8721385 ]"
594,"[-4.9174637e+02  6.4773224e+01 -2.1227195e+00  6.5806060e+00
 -4.6392493e+00  4.5818925e+00 -1.3707128e+01  6.6614479e-01
 -1.4211746e+01 -4.0039043e+00 -6.6224189e+00 -3.4281263e-01
 -1.1077977e+01]"
595,"[-5.6836322e+02  7.6103203e+01  1.1216698e+01  1.2009390e+01
 -8.8471079e-01  9.5285072e+00 -1.5804408e+01  2.2115889e+00
 -1.4965932e+01  3.6147496e-01 -5.1538496e+00 -5.7145309e-01
 -8.7522917e+00]"
596,"[-468.90683     64.41439     -8.3694105    2.4359188   -3.9226825
    5.27944    -15.583992     0.7865906  -14.028873    -8.93014
   -8.945805    -1.9962462   -6.6186204]"
597,"[-475.38138     61.514835   -14.623099     1.1906041   -2.8331056
   -2.1545494  -15.437217    -4.4591575  -15.144595    -6.305767
   -6.6446633   -4.665105    -9.225749 ]"
598,"[-438.25446      54.187893     -5.1313047     1.7554295   -11.333616
    6.7900233   -18.430634     -0.46864247  -11.615763     -7.824177
   -9.867475     -1.4160756   -11.767548  ]"
599,"[-4.36023315e+02  6.14830246e+01 -6.05654716e+00  5.39108706e+00
 -8.45802212e+00  5.72685385e+00 -1.59580984e+01 -7.17257917e-01
 -1.39648285e+01 -7.81657124e+00 -7.68125677e+00 -3.43780726e-01
 -9.11334229e+00]"
600,"[-7.2448700e+02  7.9930496e+01  2.0695711e+01  2.8962849e+01
  7.5463514e+00  1.8546900e+01 -1.4923888e+00  1.0748284e+01
 -1.9430864e-01  2.4316101e+00 -1.2744064e+00  1.0959193e+00
  2.3027110e+00]"
601,"[-6.9860901e+02  8.5008430e+01  1.8190622e+01  2.7544918e+01
  3.6003497e+00  1.8470350e+01 -2.0495186e+00  1.1929590e+01
 -1.0213213e+00  3.8030171e-01 -3.4402165e+00  1.0496941e+00
  1.9364109e+00]"
602,"[-710.46        80.49009     18.13827     31.73932      8.407154
   18.55732     -1.5698068   10.557648    -1.5588915    1.3098149
   -3.3708029    2.7683892    1.0427457]"
603,"[-698.3452      89.044464    20.444782    36.613552     8.5130205
   22.828337    -1.4861819   11.429047    -1.733549     2.5205047
   -2.4675744    4.1921606    4.288483 ]"
604,"[-7.4014020e+02  8.4465424e+01  1.4473377e+01  3.5275433e+01
  5.6215997e+00  2.6673033e+01  8.1362790e-01  1.6787552e+01
 -5.0632238e-01  5.3557191e+00 -2.5282531e+00  7.0600553e+00
  3.7268939e+00]"
605,"[-725.53723     99.575       15.615249    36.643723     7.9737396
   28.777021     0.8378261   15.076075    -2.6961455    4.731871
   -3.4698944    5.49983      2.7811108]"
606,"[-7.1599731e+02  8.7541718e+01  1.4771308e+01  3.3631706e+01
  5.3558087e+00  2.0485279e+01  6.4747512e-01  1.1432836e+01
 -5.2586370e+00  9.8635030e-01 -2.2624812e+00  3.1956527e+00
  3.6023171e+00]"
607,"[-716.058       93.06315     11.488363    41.147903     2.6210065
   28.195368     2.0399435   12.758926    -1.4442421    5.8099937
   -5.403101     6.529485     6.0232387]"
608,"[-712.9811       98.65592      12.965729     33.269924      4.510131
   29.289236     -1.6285763    12.375799     -0.82818675    3.6846325
   -2.4539328     4.7029486     7.216893  ]"
609,"[-7.3668481e+02  8.4901047e+01  3.2110016e+00  3.8112530e+01
  5.3464346e+00  2.6860249e+01  1.9399376e-01  1.2996227e+01
 -2.2792743e-01  6.4486275e+00 -2.9673071e+00  2.2816858e+00
  5.4034324e+00]"
610,"[-707.34955     90.524414    13.366769    39.31357      3.2634883
   30.248255    -3.9460979   15.27065     -3.2988226    6.269762
   -5.498956     7.11855      4.212537 ]"
611,"[-704.6983      97.39757     13.776844    37.522404     5.9256964
   25.586111    -1.1798238   12.4179325   -2.262842     3.641178
   -3.85458      4.1762524    7.089708 ]"
612,"[-669.10736     79.047516    12.086362    18.043652     4.0912914
   15.293659    -1.6187087    5.68447     -5.996658    -0.7396349
   -4.275956    -2.3885515    1.724455 ]"
613,"[-6.6113275e+02  8.2729362e+01  1.4733062e+01  2.1499329e+01
  2.6980715e+00  1.8375319e+01 -3.8196588e-01  6.1737747e+00
 -3.1403410e+00  1.9184958e+00 -5.0568485e+00  2.2168293e+00
  2.1747148e+00]"
614,"[-6.5440784e+02  7.5670631e+01  1.1571781e+01  2.3985029e+01
  1.4466137e+00  1.7469753e+01  1.6891718e-01  3.5061674e+00
 -3.6009743e+00 -3.7352255e-01 -5.3358197e+00  6.2167239e-01
  1.6813163e+00]"
615,"[-6.4663062e+02  7.2426483e+01  1.4508156e+01  2.4199909e+01
  3.0644531e+00  1.6774694e+01 -4.2192578e+00  8.0990477e+00
 -4.2092509e+00  2.2610967e+00 -5.4607925e+00 -1.0073968e+00
  3.2737020e-01]"
616,"[-4.62505707e+02  8.43866348e+01  3.52190900e+00  1.92516041e+01
 -3.08664227e+00  1.07296505e+01 -6.06114244e+00  4.91740036e+00
 -3.78492665e+00 -4.83405516e-02 -1.00551891e+01 -2.36167765e+00
  9.10179138e-01]"
617,"[-4.8019049e+02  7.2400833e+01 -1.3588141e+00  1.6746895e+01
  6.7614697e-02  1.1070800e+01 -5.9016728e+00  4.2518411e+00
 -8.3441597e-01 -3.2631066e-01 -4.7522826e+00 -1.8754910e-01
  1.5215490e+00]"
618,"[-482.5052      85.25789     -6.542196    16.255165    -8.510069
    8.372089   -11.586092     3.7953146   -7.4099874   -4.4327626
  -12.683698    -5.2415357   -2.887798 ]"
619,"[-516.9979      65.89         3.9024172   15.685155    -3.8157244
    6.883761    -4.9236712    0.7166326   -5.160068    -1.9335653
   -6.9882417   -5.6634955   -1.0944185]"
620,"[-6.9859326e+02  7.6857704e+01  1.0999417e+01  2.8161837e+01
  7.7470169e+00  2.1208035e+01 -7.5364345e-01  9.0848255e+00
  7.2079532e-02  3.2496555e+00 -5.2225127e+00  3.9401722e+00
  3.4798031e+00]"
621,"[-704.6208      87.41051     17.975271    35.798836     9.35196
   23.466064    -1.2857387   13.579095    -0.7247299    4.9729013
   -5.2187185    1.7161753    4.8937607]"
622,"[-6.9352094e+02  7.8072952e+01  1.7340109e+01  3.3236458e+01
  5.9432168e+00  1.5388189e+01  4.6525073e-01  9.7692938e+00
 -1.0475527e+00  3.5941148e+00 -4.3407598e+00 -7.0484132e-01
  2.9214754e+00]"
623,"[-6.9767773e+02  7.7079803e+01  1.8164396e+01  3.1594292e+01
  4.8920770e+00  1.7956078e+01 -6.2099773e-01  1.2215434e+01
 -9.3110967e-01  4.0147333e+00 -5.2042937e+00  2.7492473e+00
  2.1522479e+00]"
624,"[-6.0561005e+02  7.2384781e+01  6.5923109e+00  1.8388065e+01
 -1.3221630e+00  1.1088066e+01 -2.3308215e+00  4.0753665e+00
 -4.8626509e+00 -8.2064882e-02 -6.1178122e+00 -3.8308778e+00
 -4.5185897e-01]"
625,"[-5.4359363e+02  9.4760017e+01  4.2351203e+00  2.2390739e+01
  1.5808320e+00  1.4874465e+01 -4.7587171e+00  1.2797750e+00
 -5.3672090e+00 -2.9684503e+00 -7.0143580e+00 -4.4518976e+00
 -5.0721520e-01]"
